category;date;percent;downloads
with_mirrors;2020-05-01;0.76%;40
without_mirrors;2020-05-01;0.23%;12
with_mirrors;2020-05-01;0.75%;40
without_mirrors;2020-05-02;0.08%;4
with_mirrors;2020-05-02;0.11%;6
with_mirrors;2020-05-03;0.42%;22
with_mirrors;2020-05-03;0.41%;22
without_mirrors;2020-05-03;0.15%;8
with_mirrors;2020-05-04;0.54%;29
with_mirrors;2020-05-04;0.55%;29
without_mirrors;2020-05-04;0.06%;3
without_mirrors;2020-05-05;0.09%;5
with_mirrors;2020-05-05;0.11%;6
without_mirrors;2020-05-06;0.11%;6
with_mirrors;2020-05-06;0.19%;10
with_mirrors;2020-05-07;0.15%;8
without_mirrors;2020-05-07;0.04%;2
without_mirrors;2020-05-08;0.08%;4
with_mirrors;2020-05-08;0.53%;28
without_mirrors;2020-05-09;0.06%;3
with_mirrors;2020-05-09;0.06%;3
with_mirrors;2020-05-10;0.77%;41
without_mirrors;2020-05-10;0.09%;5
with_mirrors;2020-05-10;0.78%;41
without_mirrors;2020-05-11;0.06%;3
with_mirrors;2020-05-11;0.60%;32
with_mirrors;2020-05-11;0.61%;32
with_mirrors;2020-05-12;0.71%;38
without_mirrors;2020-05-12;0.49%;26
with_mirrors;2020-05-12;0.72%;38
with_mirrors;2020-05-13;1.63%;86
with_mirrors;2020-05-13;1.61%;86
without_mirrors;2020-05-13;0.79%;42
with_mirrors;2020-05-14;0.57%;30
with_mirrors;2020-05-14;0.56%;30
without_mirrors;2020-05-14;0.13%;7
without_mirrors;2020-05-15;0.06%;3
with_mirrors;2020-05-15;0.44%;23
with_mirrors;2020-05-15;0.43%;23
with_mirrors;2020-05-16;0.44%;23
with_mirrors;2020-05-16;0.43%;23
without_mirrors;2020-05-16;0.36%;19
with_mirrors;2020-05-17;1.57%;83
without_mirrors;2020-05-17;0.13%;7
with_mirrors;2020-05-17;1.56%;83
without_mirrors;2020-05-18;0.11%;6
with_mirrors;2020-05-18;0.81%;43
with_mirrors;2020-05-19;0.68%;36
without_mirrors;2020-05-19;0.13%;7
without_mirrors;2020-05-20;0.13%;7
with_mirrors;2020-05-20;0.32%;17
without_mirrors;2020-05-21;0.09%;5
with_mirrors;2020-05-21;0.79%;42
without_mirrors;2020-05-22;0.06%;3
with_mirrors;2020-05-22;0.78%;41
with_mirrors;2020-05-22;0.77%;41
without_mirrors;2020-05-23;0.11%;6
with_mirrors;2020-05-23;0.56%;30
with_mirrors;2020-05-23;0.57%;30
with_mirrors;2020-05-24;0.40%;21
with_mirrors;2020-05-24;0.39%;21
without_mirrors;2020-05-24;0.09%;5
with_mirrors;2020-05-25;0.89%;47
with_mirrors;2020-05-25;0.88%;47
without_mirrors;2020-05-25;0.19%;10
without_mirrors;2020-05-26;0.08%;4
with_mirrors;2020-05-26;0.42%;22
with_mirrors;2020-05-26;0.41%;22
without_mirrors;2020-05-27;0.13%;7
with_mirrors;2020-05-27;0.39%;21
with_mirrors;2020-05-27;0.40%;21
with_mirrors;2020-05-28;0.85%;45
with_mirrors;2020-05-28;0.84%;45
without_mirrors;2020-05-28;0.17%;9
without_mirrors;2020-05-29;0.09%;5
with_mirrors;2020-05-29;0.62%;33
with_mirrors;2020-05-30;0.73%;39
with_mirrors;2020-05-30;0.74%;39
without_mirrors;2020-05-30;0.08%;4
without_mirrors;2020-05-31;0.26%;14
with_mirrors;2020-05-31;0.26%;14
with_mirrors;2020-06-01;0.59%;31
with_mirrors;2020-06-01;0.58%;31
without_mirrors;2020-06-01;0.09%;5
with_mirrors;2020-06-02;0.25%;13
with_mirrors;2020-06-02;0.24%;13
without_mirrors;2020-06-02;0.06%;3
with_mirrors;2020-06-03;0.32%;17
without_mirrors;2020-06-03;0.06%;3
without_mirrors;2020-06-04;0.02%;1
with_mirrors;2020-06-04;0.62%;33
without_mirrors;2020-06-05;0.04%;2
with_mirrors;2020-06-05;0.49%;26
with_mirrors;2020-06-06;0.32%;17
without_mirrors;2020-06-06;0.02%;1
with_mirrors;2020-06-07;0.24%;13
without_mirrors;2020-06-07;0.09%;5
with_mirrors;2020-06-07;0.25%;13
without_mirrors;2020-06-08;0.06%;3
with_mirrors;2020-06-08;0.51%;27
with_mirrors;2020-06-09;0.36%;19
without_mirrors;2020-06-09;0.13%;7
with_mirrors;2020-06-10;0.21%;11
without_mirrors;2020-06-10;0.09%;5
without_mirrors;2020-06-11;0.06%;3
with_mirrors;2020-06-11;0.28%;15
with_mirrors;2020-06-12;0.38%;20
without_mirrors;2020-06-12;0.11%;6
with_mirrors;2020-06-13;0.47%;25
without_mirrors;2020-06-13;0.02%;1
with_mirrors;2020-06-14;0.59%;31
with_mirrors;2020-06-14;0.58%;31
without_mirrors;2020-06-15;0.08%;4
with_mirrors;2020-06-15;0.08%;4
with_mirrors;2020-06-16;0.89%;47
without_mirrors;2020-06-16;0.85%;45
with_mirrors;2020-06-16;0.88%;47
without_mirrors;2020-06-16;0.84%;45
with_mirrors;2020-06-17;1.87%;99
without_mirrors;2020-06-17;1.49%;79
with_mirrors;2020-06-17;1.86%;99
without_mirrors;2020-06-17;1.48%;79
without_mirrors;2020-06-18;0.49%;26
with_mirrors;2020-06-18;0.76%;40
with_mirrors;2020-06-18;0.75%;40
with_mirrors;2020-06-19;0.56%;30
without_mirrors;2020-06-19;0.34%;18
with_mirrors;2020-06-19;0.57%;30
without_mirrors;2020-06-20;0.06%;3
with_mirrors;2020-06-20;0.96%;51
with_mirrors;2020-06-21;0.04%;2
without_mirrors;2020-06-21;0.04%;2
without_mirrors;2020-06-22;1.07%;57
with_mirrors;2020-06-22;1.30%;69
without_mirrors;2020-06-22;1.08%;57
with_mirrors;2020-06-22;1.31%;69
with_mirrors;2020-06-23;0.17%;9
without_mirrors;2020-06-23;0.17%;9
with_mirrors;2020-06-24;0.71%;38
without_mirrors;2020-06-24;0.24%;13
with_mirrors;2020-06-24;0.72%;38
without_mirrors;2020-06-24;0.25%;13
without_mirrors;2020-06-25;0.51%;27
with_mirrors;2020-06-25;0.96%;51
with_mirrors;2020-06-26;1.04%;55
without_mirrors;2020-06-26;0.58%;31
without_mirrors;2020-06-26;0.59%;31
with_mirrors;2020-06-26;1.03%;55
with_mirrors;2020-06-27;0.47%;25
without_mirrors;2020-06-27;0.02%;1
with_mirrors;2020-06-28;0.13%;7
without_mirrors;2020-06-28;0.13%;7
without_mirrors;2020-06-29;0.72%;38
without_mirrors;2020-06-29;0.71%;38
with_mirrors;2020-06-29;0.83%;44
with_mirrors;2020-06-30;1.15%;61
without_mirrors;2020-06-30;0.47%;25
without_mirrors;2020-07-01;0.45%;24
with_mirrors;2020-07-01;0.49%;26
with_mirrors;2020-07-02;0.64%;34
without_mirrors;2020-07-02;0.41%;22
without_mirrors;2020-07-02;0.42%;22
without_mirrors;2020-07-03;0.69%;37
with_mirrors;2020-07-03;1.37%;73
without_mirrors;2020-07-03;0.70%;37
with_mirrors;2020-07-03;1.38%;73
with_mirrors;2020-07-04;0.75%;40
without_mirrors;2020-07-04;0.02%;1
with_mirrors;2020-07-04;0.76%;40
without_mirrors;2020-07-05;0.02%;1
with_mirrors;2020-07-05;0.02%;1
without_mirrors;2020-07-06;0.47%;25
with_mirrors;2020-07-06;0.47%;25
with_mirrors;2020-07-07;0.68%;36
without_mirrors;2020-07-07;0.68%;36
with_mirrors;2020-07-08;1.29%;68
without_mirrors;2020-07-08;0.79%;42
with_mirrors;2020-07-08;1.28%;68
without_mirrors;2020-07-09;0.53%;28
with_mirrors;2020-07-09;0.96%;51
with_mirrors;2020-07-10;0.94%;50
without_mirrors;2020-07-10;0.94%;50
with_mirrors;2020-07-10;0.95%;50
without_mirrors;2020-07-10;0.95%;50
with_mirrors;2020-07-11;0.38%;20
without_mirrors;2020-07-11;0.04%;2
with_mirrors;2020-07-12;0.49%;26
without_mirrors;2020-07-12;0.04%;2
with_mirrors;2020-07-13;1.07%;57
with_mirrors;2020-07-13;1.08%;57
without_mirrors;2020-07-13;0.84%;45
without_mirrors;2020-07-13;0.85%;45
with_mirrors;2020-07-14;1.65%;87
with_mirrors;2020-07-14;1.63%;87
without_mirrors;2020-07-14;0.81%;43
without_mirrors;2020-07-15;0.64%;34
with_mirrors;2020-07-15;0.68%;36
with_mirrors;2020-07-16;1.27%;67
without_mirrors;2020-07-16;0.83%;44
with_mirrors;2020-07-16;1.26%;67
with_mirrors;2020-07-17;0.64%;34
without_mirrors;2020-07-17;0.64%;34
without_mirrors;2020-07-18;0.04%;2
with_mirrors;2020-07-18;0.68%;36
with_mirrors;2020-07-19;0.04%;2
without_mirrors;2020-07-19;0.04%;2
with_mirrors;2020-07-20;1.13%;60
without_mirrors;2020-07-20;0.83%;44
with_mirrors;2020-07-20;1.14%;60
without_mirrors;2020-07-21;0.36%;19
with_mirrors;2020-07-21;0.51%;27
with_mirrors;2020-07-22;0.61%;32
without_mirrors;2020-07-22;0.55%;29
with_mirrors;2020-07-22;0.60%;32
without_mirrors;2020-07-22;0.54%;29
with_mirrors;2020-07-23;0.68%;36
without_mirrors;2020-07-23;0.68%;36
with_mirrors;2020-07-24;0.83%;44
without_mirrors;2020-07-24;0.38%;20
with_mirrors;2020-07-25;0.08%;4
without_mirrors;2020-07-25;0.06%;3
without_mirrors;2020-07-26;0.02%;1
with_mirrors;2020-07-26;0.36%;19
with_mirrors;2020-07-27;0.40%;21
with_mirrors;2020-07-27;0.39%;21
without_mirrors;2020-07-27;0.36%;19
with_mirrors;2020-07-28;0.77%;41
without_mirrors;2020-07-28;0.13%;7
with_mirrors;2020-07-28;0.78%;41
with_mirrors;2020-07-29;0.77%;41
without_mirrors;2020-07-29;0.36%;19
with_mirrors;2020-07-29;0.78%;41
without_mirrors;2020-07-30;0.08%;4
with_mirrors;2020-07-30;0.28%;15
without_mirrors;2020-07-31;0.11%;6
with_mirrors;2020-07-31;0.49%;26
with_mirrors;2020-08-01;0.41%;22
without_mirrors;2020-08-01;0.08%;4
with_mirrors;2020-08-01;0.42%;22
without_mirrors;2020-08-02;0.02%;1
with_mirrors;2020-08-02;1.15%;61
without_mirrors;2020-08-03;0.09%;5
with_mirrors;2020-08-03;0.53%;28
without_mirrors;2020-08-04;0.02%;1
with_mirrors;2020-08-04;0.19%;10
with_mirrors;2020-08-05;0.13%;7
without_mirrors;2020-08-05;0.06%;3
without_mirrors;2020-08-06;0.13%;7
with_mirrors;2020-08-06;0.36%;19
without_mirrors;2020-08-07;0.32%;17
with_mirrors;2020-08-07;0.83%;44
with_mirrors;2020-08-08;0.69%;37
without_mirrors;2020-08-08;0.02%;1
with_mirrors;2020-08-08;0.70%;37
without_mirrors;2020-08-09;0.08%;4
with_mirrors;2020-08-09;0.08%;4
with_mirrors;2020-08-10;0.28%;15
without_mirrors;2020-08-10;0.06%;3
without_mirrors;2020-08-11;0.04%;2
with_mirrors;2020-08-11;0.57%;30
with_mirrors;2020-08-11;0.56%;30
without_mirrors;2020-08-12;0.04%;2
with_mirrors;2020-08-12;0.32%;17
without_mirrors;2020-08-13;0.04%;2
with_mirrors;2020-08-13;0.36%;19
without_mirrors;2020-08-14;0.04%;2
with_mirrors;2020-08-14;0.66%;35
with_mirrors;2020-08-15;0.75%;40
with_mirrors;2020-08-15;0.76%;40
without_mirrors;2020-08-15;0.04%;2
without_mirrors;2020-08-16;0.04%;2
with_mirrors;2020-08-16;0.26%;14
with_mirrors;2020-08-17;0.47%;25
without_mirrors;2020-08-17;0.02%;1
with_mirrors;2020-08-18;0.04%;2
without_mirrors;2020-08-18;0.04%;2
without_mirrors;2020-08-19;0.02%;1
with_mirrors;2020-08-19;0.17%;9
with_mirrors;2020-08-20;0.15%;8
without_mirrors;2020-08-20;0.06%;3
with_mirrors;2020-08-21;0.02%;1
without_mirrors;2020-08-21;0.02%;1
with_mirrors;2020-08-23;0.99%;53
with_mirrors;2020-08-23;1.00%;53
without_mirrors;2020-08-23;0.09%;5
without_mirrors;2020-08-24;0.09%;5
with_mirrors;2020-08-24;1.05%;56
with_mirrors;2020-08-24;1.06%;56
without_mirrors;2020-08-25;0.09%;5
with_mirrors;2020-08-25;0.09%;5
without_mirrors;2020-08-26;0.06%;3
with_mirrors;2020-08-26;0.42%;22
with_mirrors;2020-08-26;0.41%;22
without_mirrors;2020-08-27;0.08%;4
with_mirrors;2020-08-27;0.25%;13
with_mirrors;2020-08-27;0.24%;13
without_mirrors;2020-08-28;0.06%;3
with_mirrors;2020-08-28;0.68%;36
without_mirrors;2020-08-29;0.06%;3
with_mirrors;2020-08-29;0.28%;15
without_mirrors;2020-08-30;0.06%;3
with_mirrors;2020-08-30;0.28%;15
with_mirrors;2020-08-31;0.70%;37
with_mirrors;2020-08-31;0.69%;37
without_mirrors;2020-08-31;0.02%;1
without_mirrors;2020-09-01;0.08%;4
with_mirrors;2020-09-01;0.68%;36
with_mirrors;2020-09-02;0.32%;17
without_mirrors;2020-09-02;0.11%;6
without_mirrors;2020-09-03;0.08%;4
with_mirrors;2020-09-03;0.09%;5
without_mirrors;2020-09-04;0.09%;5
with_mirrors;2020-09-04;0.17%;9
without_mirrors;2020-09-05;0.04%;2
with_mirrors;2020-09-05;0.26%;14
with_mirrors;2020-09-06;0.75%;40
without_mirrors;2020-09-06;0.04%;2
